"Empresa","NIPC","Estatuto","Estado_Empresa","Tipo_Empresa","Capital_Social","Data_Registro","CAE","Area_de_atividade","Localizacao","Morada","Codigo_Postal","Email","Telemovel","Website","SEO"
"Vetor Imperial, Lda","516006525","StartUp","Active","SA","82957.19€","07/02/2017","00006","Extração de petróleo bruto e gás natural","Coimbra,Coimbra,Pousos","Estrada Municipal 506, S/N","6200-284","Não Fornecido","Não Fornecido","Não Fornecido","neuronio-inedito-s-a"
"Stratio, S.a","513214968","StartUp","Active","SA","53791.67€","21/09/2021","00006","Extração de petróleo bruto e gás natural","Leiria,Leiria,Angústias (Horta)","Rua de Fonsea Cardoso, Nº 39, 4º Esquerdo Frente","4405-834","Não Fornecido","Não Fornecido","Não Fornecido","ground-control-studios-lda"
"Twevo, S.a","514610875","StartUp","Active","SA","206250.09€","12/06/2015","00006","Extração de petróleo bruto e gás natural","Açores,Horta,Santo António dos Olivais","Rua Biscainhos, 37, 1º Andar","4700-415","Não Fornecido","Não Fornecido","Não Fornecido","automaise-s-a"
"Blue Ocean Sustainable Solutions, S.a","515965170","StartUp","Active","UNI","500.00€","06/06/2018","00006","Extração de petróleo bruto e gás natural","Coimbra,Coimbra,Alvalade","Rua Eduardo Santos Silva, Nº261, Fração O","4200-283","Não Fornecido","Não Fornecido","Não Fornecido","unicorn-treasure-lda"
"Youship, Unipessoal Lda","513653457","StartUp","Active","LDA","3178.57€","05/09/2017","00006","Extração de petróleo bruto e gás natural","Lisboa,Lisboa,Santo António dos Olivais","Rua D. Maria II, Nº15","4610-164","Não Fornecido","962189973","Não Fornecido","loqr-s-a"
"Delox - Investigação, Processos e Equipamentos Científicos, Lda","514544210","StartUp","Active","LDA","5001.00€","05/07/2023","00006","Extração de petróleo bruto e gás natural","Coimbra,Coimbra,Santo António dos Olivais","Pci - Creative Science Park, Edifício Central, Via do Conhecimento","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","gotas-digitais-lda"
"Ineye Pharma, Lda","515162531","StartUp","Active","LDA","5001.00€","10/11/2016","00006","Extração de petróleo bruto e gás natural","Coimbra,Coimbra,Santa Maria e São Miguel","Via do Conhecimento, Edifício Central, Ílhavo","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","nid-human-lda"
"Timeup, Lda","514523425","StartUp","Active","LDA","5921.36€","05/08/2020","00006","Extração de petróleo bruto e gás natural","Lisboa,Torres Vedras,Cruz Quebrada-Dafundo","Avenida Dr. Antunes Guimarães, Nº 875","4100-081","Não Fornecido","Não Fornecido","Não Fornecido","portugate-s-a"
"Worldadrenaline Lda","513769242","StartUp","Active","SA","63658.30€","20/04/2020","00006","Extração de petróleo bruto e gás natural","Lisboa,Oeiras,Gualtar","Edifício Olympus II, Avenida D. Afonso Henriques, Nº 1462, 3º Andar","4450-013","Não Fornecido","Não Fornecido","Não Fornecido","storesace-lda"
"Wiseapproach , S.a","517700484","StartUp","Active","LDA","1173.40€","12/12/2018","00006","Extração de petróleo bruto e gás natural","Braga,Braga,Santa Maria Maior","Rua 1, N.º 997, Vila Nova de Telha","4470-701","Não Fornecido","Não Fornecido","Não Fornecido","purple-option-unipessoal-lda"
"Gripwise Tech, Lda","514450959","StartUp","Active","LDA","550.00€","02/05/2017","00006","Extração de petróleo bruto e gás natural","Viana do Castelo,Viana do Castelo,São José de São Lázaro","Rua 25 de Abril, N.º 49","2080-382","Não Fornecido","Não Fornecido","Não Fornecido","wisecompany-s-a"
"Exotictarget - Lda","513251405","StartUp","Active","LDA","13364.40€","28/04/2017","00006","Extração de petróleo bruto e gás natural","Braga,Braga,Lordelo do Ouro","Pci - Parque de Ciência e Inovação, Edificio Central, Via do Conhecimento","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","primetag-s-a"
"Besthealth4U, Lda","516614754","StartUp","Active","LDA","1501.00€","17/11/2022","00006","Extração de petróleo bruto e gás natural","Porto,Porto,São José de São Lázaro","Rua do Comércio, Nº 115","2100-330","Não Fornecido","Não Fornecido","Não Fornecido","unlock-decentralization-s-a"
"Infinite Foundry, Lda","515428515","StartUp","Active","SA","57222.80€","10/04/2017","00006","Extração de petróleo bruto e gás natural","Braga,Braga,Pousos","En 101, Avenida Barros e Soares, Nº 423","4715-214","Não Fornecido","Não Fornecido","Não Fornecido","universal-cover-s-a"
"Pluggable, S.a","515425486","StartUp","Active","SA","96623.11€","06/09/2021","00006","Extração de petróleo bruto e gás natural","Leiria,Leiria,Campanhã","Avenida João Crisóstomo, Nº 31, 6º","1050-125","Não Fornecido","Não Fornecido","Não Fornecido","codacy-s-a"
"Leadzai, S.a","516925687","StartUp","Active","UNI","595.24€","15/09/2020","00006","Extração de petróleo bruto e gás natural","Porto,Porto,Chão de Couce","Campo Grande, Nº 28 ,4º B","1700-093","Não Fornecido","Não Fornecido","Não Fornecido","main-perfection-lda"
"Intuitivo, Unipessoal, Lda","518323668","StartUp","Active","SA","57490.04€","12/02/2021","00006","Extração de petróleo bruto e gás natural","Leiria,Ansião,Pousos","Rua dos Açores, 25, Monte Estoril","2765-391","Não Fornecido","Não Fornecido","Não Fornecido","gova-ai-unipessoal-lda"
"Co2Offset, S.a","518225887","StartUp","Active","LDA","4500.00€","14/01/2021","00006","Extração de petróleo bruto e gás natural","Leiria,Leiria,Nossa Senhora de Fátima","Ipn Incubadora, Edifício C, Rua Pedro Nunes","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","draft-of-life-lda"
"The Cricket Farming Co., Lda","517911418","StartUp","Active","LDA","801.00€","10/03/2023","00006","Extração de petróleo bruto e gás natural","Lisboa,Lisboa,Madalena","Rua Pedro Nunes, Instituto Pedro Nunes - Ipn Incubadora","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","sensiperception-lda"
"Swatter Company, Lda","517706598","StartUp","Active","LDA","3001.00€","09/08/2018","00006","Extração de petróleo bruto e gás natural","Porto,Vila Nova de Gaia,São Felix da Marinha","Alameda Salgueiro Maia Urbanização de Santo André, Lote 4, 1 Gab 8","2660-329","Não Fornecido","Não Fornecido","Não Fornecido","ricardo-baiao-unipessoal-lda"
"Helloscemai, Lda","518282384","StartUp","Active","LDA","3000.00€","08/09/2023","00006","Extração de petróleo bruto e gás natural","Porto,Vila Nova de Gaia,Leça da Palmeira","Rua de Camões, Nº 769, 1º","4000-142","Não Fornecido","Não Fornecido","Não Fornecido","weiver-lda"
"Genialsquare - Lda","518324974","StartUp","Active","LDA","10475.00€","20/10/2022","00006","Extração de petróleo bruto e gás natural","Porto,Matosinhos,Évora (Sé e São Pedro)","Rua dos Inventores, S/N","2825-182","Não Fornecido","Não Fornecido","Não Fornecido","safetyscope-lda"
"Wisify - Tech Solutions, Lda","517853671","StartUp","Active","UNI","5000.00€","14/10/2020","00006","Extração de petróleo bruto e gás natural","Évora,Évora,Sobral da Lagoa","Rua Castilho, Nº 14-C, 5","1250-069","Não Fornecido","Não Fornecido","Não Fornecido","trendy-harmony-lda"
"Condoroo Ai Gestão de Edificios, Unipessoal Lda","518077012","StartUp","Active","LDA","1000.00€","14/05/2017","00006","Extração de petróleo bruto e gás natural","Leiria,Óbidos,Boidobra","Rua da Olivença, Nº 1-A","2765-262","Não Fornecido","Não Fornecido","Não Fornecido","insula-sensorial-unipessoal-lda"
"Ideias Contíguas Lda","518204430","StartUp","Active","SA","58968.62€","24/05/2017","00006","Extração de petróleo bruto e gás natural","Castelo Branco,Covilhã,Paranhos","Rua do Comércio, Nº 93","3200-227","Não Fornecido","Não Fornecido","Não Fornecido","comudel-unipessoal-lda"
"Neurónio Inédito S.a","516520580","StartUp","Active","SA","68877.64€","18/06/2019","00006","Extração de petróleo bruto e gás natural","Porto,Porto,Paranhos","Rua Dr. Mário Charrua, N.º 4, Bloco A, 5.º Esquerdo","1495-169","Não Fornecido","Não Fornecido","Não Fornecido","socialtalk-s-a"
"Bandora Systems, S.a","516223763","StartUp","Active","SA","77367.65€","16/11/2022","00006","Extração de petróleo bruto e gás natural","Porto,Porto,Santo Estevão","Avenida Manuel Violas, Nº 476, 0, Centro Empresarial Inovagaia, Sala 7.2","4410-137","Não Fornecido","Não Fornecido","Não Fornecido","intelligentretailsolutions-solucoes-tecnologicas-para-o-retalho-lda"
"Probe.ly - Soluções de Cibersegurança, S.a","518299953","StartUp","Active","SA","301763.57€","22/12/2015","00006","Extração de petróleo bruto e gás natural","Lisboa,Lisboa,São Salvador","Avenida Miguel Bombarda, 40, B","1050-050","Não Fornecido","Não Fornecido","Não Fornecido","clicktoconnect-lda"
"Merytucentric, S.a","515957135","StartUp","Active","LDA","102.00€","15/12/2023","00006","Extração de petróleo bruto e gás natural","Aveiro,Ílhavo,São João da Madeira","Calçada 31 de Janeiro, N.º 1","7580-098","Não Fornecido","Não Fornecido","Não Fornecido","trypleez-s-a"
"Thunder Trick - Sociedade de Energia Renovável, Lda","518314286","StartUp","Active","LDA","926.14€","06/03/2021","00006","Extração de petróleo bruto e gás natural","Aveiro,São João da Madeira,Alvalade","Rua Odette de Saint-Maurice, 3L (-1), Esc. C","1700-921","Não Fornecido","Não Fornecido","Não Fornecido","argumento-vigoroso-lda"
"Crsa - Connect Robotics Sistemas Autónomos, Lda","518357007","StartUp","Active","LDA","5000.00€","14/07/2017","00006","Extração de petróleo bruto e gás natural","Lisboa,Lisboa,Bonfim","Rua João António Gaspar, Nº 314","2765-326","Não Fornecido","Não Fornecido","Não Fornecido","bravelight-tecnologias-lda"
"Quantumbridge - Lda","515751200","StartUp","Active","SA","58139.54€","17/12/2020","00006","Extração de petróleo bruto e gás natural","Porto,Porto,Carcavelos","Estrada Municipal, 506 - Ed. Ubimédical","6200-284","Não Fornecido","Não Fornecido","Não Fornecido","bedev-programacao-consultadoria-e-design-de-aplicacoes-informaticas-lda"
"Digestaid - Artificial Intelligence Development, S.a","517565765","StartUp","Active","LDA","9300.00€","13/03/2018","00006","Extração de petróleo bruto e gás natural","Lisboa,Cascais,Santo António","Praça Conde de Agrolongo 123, Edifício Gnration","4720-345","Não Fornecido","Não Fornecido","Não Fornecido","equacao-perspicaz-unipessoal-lda"
"Morning Root Lda","516468642","StartUp","Active","LDA","2000.00€","09/11/2022","00006","Extração de petróleo bruto e gás natural","Madeira,Funchal,São Sebastião","Rua da Fábrica, Nº 237","4715-027","Não Fornecido","Não Fornecido","Não Fornecido","omniumai-inteligencia-artificial-e-ciencias-de-dados-lda"
"Ast Automotive Services Technologies, Lda","517734346","StartUp","Active","UNI","5000.00€","18/09/2014","00006","Extração de petróleo bruto e gás natural","Setúbal,Setúbal,Vila do Conde","Avenida Combatentes da Grande Guerra, N.º 101","4900-563","Não Fornecido","Não Fornecido","Não Fornecido","xarp-reality-labs-limitada"
"Quantum Leap, Unipessoal Lda","518594386","StartUp","Active","UNI","1000.00€","23/10/2017","00006","Extração de petróleo bruto e gás natural","Porto,Vila do Conde,Cedofeita","Rua Fernando Namora, Nº 251, 3º B","2785-679","Não Fornecido","Não Fornecido","Não Fornecido","memotricks-unipessoal-lda"
"Amazing Boost, Unipessoal Lda","518067408","StartUp","Active","LDA","5000.00€","04/06/2021","00006","Extração de petróleo bruto e gás natural","Porto,Porto,Santa Maria dos Olivais","Rua Alfredo Allen, N.º 455","4200-135","Não Fornecido","Não Fornecido","Não Fornecido","boost-expertise-lda"
"Ground Control Studios, Lda","518554325","StartUp","Active","LDA","2000.00€","11/10/2019","00006","Extração de petróleo bruto e gás natural","Lisboa,Lisboa,Cividade","Rua Dr. Carlos Araújo, Nº 9, 1º - Green Hub Incubadora de Empresas","4980-631","Não Fornecido","Não Fornecido","Não Fornecido","comunidade-ondulante-lda"
"Indie Tech, Lda","517336553","StartUp","Active","SA","76194.79€","21/07/2015","00006","Extração de petróleo bruto e gás natural","Braga,Braga,São José de São Lázaro","Rua César das Neves, 116 - 2.º Esquerdo","4200-002","Não Fornecido","Não Fornecido","Não Fornecido","planta-design-unipessoal-lda"
"Automaise, S.a","518508340","StartUp","Active","LDA","15007.00€","02/12/2015","00006","Extração de petróleo bruto e gás natural","Braga,Braga,Alcabideche","Rua Alegre, Nº 32 , 2º Esquerdo, Algés","1495-003","Não Fornecido","Não Fornecido","Não Fornecido","embarknowledge-lda"
"Glooma, Lda","515178683","StartUp","Active","SA","59886.16€","31/08/2020","00006","Extração de petróleo bruto e gás natural","Lisboa,Cascais,Cividade","Alameda dos Oceanos (Edifício Smart), 1.06.1.1, 4º Andar","1990-207","Não Fornecido","Não Fornecido","Não Fornecido","bloqstrx-s-a"
"Maindata, S.a","517467739","StartUp","Active","SA","121521.95€","09/02/2021","00006","Extração de petróleo bruto e gás natural","Braga,Braga,Sé","Rua Sousa Martins, Nº 15, 5","1050-217","Não Fornecido","Não Fornecido","Não Fornecido","mensagens-elipticas-lda"
"Healthium - Healthcare Software Solutions, S.a","516563840","StartUp","Active","SA","50000.00€","23/04/2020","00006","Extração de petróleo bruto e gás natural","Açores,Angra do Heroísmo,Paranhos","Avenida da Liberdade, 108, 2º Andar","1250-148","Não Fornecido","Não Fornecido","Não Fornecido","oddsgate-s-a"
"Tsolnetworks Connect Europe, S.a","517072890","StartUp","Active","LDA","1101.00€","25/08/2015","00006","Extração de petróleo bruto e gás natural","Porto,Porto,Terra Chã","Rua do Canteiro, N.º 15 - R/C - Bairro do Bacelo","7005-424","Não Fornecido","Não Fornecido","Não Fornecido","pura-teoria-lda"
"Maia & Muller - Biotech, Lda","517915960","StartUp","Active","SA","50000.00€","19/09/2018","00006","Extração de petróleo bruto e gás natural","Açores,Angra do Heroísmo,Paranhos","Startup Madeira - Ev 214, Campus da Penteada","9020-105","Não Fornecido","Não Fornecido","Não Fornecido","opvance-lda"
"Obviously Magic, S.a","517596555","StartUp","Active","LDA","10527.00€","12/04/2024","00006","Extração de petróleo bruto e gás natural","Porto,Porto,Varziela","Rua da Carvalha, 570","2400-441","Não Fornecido","Não Fornecido","Não Fornecido","lockem-lda"
"Unicorn Treasure, Lda","518356507","StartUp","Active","SA","76589.00€","30/08/2017","00006","Extração de petróleo bruto e gás natural","Porto,Felgueiras,Horta das Figueiras","Rua da Torre, Nº 30, 2 Az","3740-267","Não Fornecido","Não Fornecido","Não Fornecido","sitf-global-lda"
"Loqr, S.a","516868233","StartUp","Active","LDA","1000.00€","24/08/2017","00006","Extração de petróleo bruto e gás natural","Évora,Évora,Santa Maria de Belém","Rua António Champalimaud, Edifício 3","1600-514","Não Fornecido","Não Fornecido","Não Fornecido","jupiter-infalivel-unipessoal-lda"
"Citycheck - Consulting, Lda","518886107","StartUp","Active","UNI","1000.00€","16/11/2018","00006","Extração de petróleo bruto e gás natural","Lisboa,Lisboa,São Salvador","Rua Fundação Calouste Gulbenkian, Nº 84","4710-354","Não Fornecido","Não Fornecido","Não Fornecido","teemytech-lda"
"Upflex Europe, Unipessoal Lda","517587467","StartUp","Active","LDA","2623.24€","25/01/2024","00007","Extração de minérios metálicos","Aveiro,Ílhavo,Castelo Branco","Tec Labs - Centro de Inovação, Campus da Faculdade de Ciências da Universidade de Lisboa","1749-016","Não Fornecido","Não Fornecido","Não Fornecido","keepit-lda"
"Gotas Digitais - Lda","517902133","StartUp","Active","SA","91022.08€","08/08/2017","00007","Extração de minérios metálicos","Castelo Branco,Castelo Branco,São Salvador","Av Poeta Mistral 2, 2 Andar Dtº","1050-182","Não Fornecido","Não Fornecido","Não Fornecido","sustanya-lda"
"Senseidata, S.a","517635232","StartUp","Active","LDA","1041.68€","08/01/2019","00007","Extração de minérios metálicos","Aveiro,Ílhavo,Boidobra","Instituto Pedro Nunes - Incubadora, Rua Pedro Nunes, Edifício C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","timeup-lda"
"Senseidata, S.a","517635232","StartUp","Active","LDA","1041.68€","08/01/2019","00007","Extração de minérios metálicos","Aveiro,Ílhavo,Boidobra","Instituto Pedro Nunes - Incubadora, Rua Pedro Nunes, Edifício C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","timeup-lda"
"Nid-Human, Lda","515206415","StartUp","Active","UNI","2500.00€","09/01/2015","00007","Extração de minérios metálicos","Castelo Branco,Covilhã,Foz do Douro","Largo Cidade da Baia, Lote 45, 1º Trz, Monserrate","4900-378","Não Fornecido","Não Fornecido","Não Fornecido","exotictarget-lda-2"
"Nomadengenuity Unipessoal Lda","515953415","StartUp","Active","SA","63500.00€","24/04/2020","00007","Extração de minérios metálicos","Porto,Porto,Paranhos","Ubimedical, Universidade da Beira Interior, Estrada Municipal 506","6200-284","Não Fornecido","Não Fornecido","Não Fornecido","fastprinciple-lda"
"Portugate, S.a","513553142","StartUp","Active","SA","167097.56€","10/07/2015","00007","Extração de minérios metálicos","Porto,Porto,Nogueiró","Parque Biocant, Núcleo 04, Lote 2","3060-197","Não Fornecido","231419043","www.exogenus-t.com","exogenus-therapeutics-s-a"
"Horizonperspective, S.a","516567853","StartUp","Active","SA","76963.48€","17/06/2011","00007","Extração de minérios metálicos","Braga,Braga,Boidobra","Rua Pedro Nunes, Instituto Pedro Nunes, S/N","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","fibersight-smart-sensing-solutions-lda"
"Peek Health, S.a","516510576","StartUp","Active","LDA","22400.00€","24/11/2015","00007","Extração de minérios metálicos","Castelo Branco,Covilhã,Nazaré","Via do Conhecimento, Bloco 1","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","zoomguide-lda"
"Fastprinciple - Lda","516995065","StartUp","Active","SA","130186.03€","02/06/2015","00007","Extração de minérios metálicos","Leiria,Nazaré,Cedofeita","Rua Filipe Folque, Nº 2, 2º","1050-110","Não Fornecido","Não Fornecido","Não Fornecido","kiangle-unipessoal-lda"
"Oceano Fresco, S.a","517097737","StartUp","Active","UNI","1000.00€","11/08/2023","00007","Extração de minérios metálicos","Porto,Porto,Leça da Palmeira","Universidade de Aveiro Incubador Pci - Creative Science Park, Edifício Central, Via do Conhecimento","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","energynetiq-lda"
